name,points
Alvaro Fillol,183
Robert Kendrick,183
Wayne Odesnik,183
Christo Steyn,182
Federico Coria,182
Chris Kachel,182
Robin Drysdale,182
Wolfgang Popp,181
Jim Gurfein,181
Gene Scott,181
Jiri Granat,181
Ivo Heuberger,181
Dan Cassidy,180
Pavel Hutka,180
Mark Petchey,179
Steve Bryan,178
Carl Limberger,178
Marc Flur,177
Alex Radulescu,176
Sam Groth,176
William Brown,176
Elias Ymer,176
Michal Tabara,175
Alex Molcan,174
Flavio Cipolla,174
Ivo Minar,174
Tommy Ho,174
Tatsuma Ito,174
Maxime Cressy,173
Santiago Ventura,173
Bruce Derlin,173
Juan Balcells,172
Terry Rocavert,172
Jimmy Wang,171
Jenson Brooksby,171
Tore Meinecke,171
Chris Johnstone,171
John Marks,171
Humphrey Hose,171
Mansour Bahrami,170
Ivan Navarro,170
Dick Bohrnstedt,169
Pancho Guzman,169
Andrei Stoliarov,169
Michal Przysiezny,168
Martin Laurendeau,168
Yahiya Doumbia,167
Barry Moir,167
Tomas Nydahl,167
Steve Faulk,166
Maurice Ruah,166
Noam Okun,166
Ezio Di Matteo,165
Daniel Elahi Galan,164
Patricio Rodriguez Chi,164
Raul Antonio Viver,164
Neville Godwin,164
Tito Vazquez,163
Ryan Sweeting,162
Benjamin Bonzi,161
Dinu Pescariu,160
Daniele Bracciali,160
Chris Mayotte,160
Erick Iskersky,160
Jose Francisco Altur,159
Gregory Carraz,159
Dominik Koepfer,159
Simone Colombo,159
Dick Norman,159
Marsel Ilhan,158
Bobby Reynolds,157
Robert Kreiss,157
Jesse Levine,157
Hugo Dellien,156
Joern Renzenbrink,156
Rik De Voest,156
Jaroslav Navratil,156
Rogerio Dutra Silva,155
David Lloyd,155
Amer Delic,155
Juan Ignacio Londero,155
Jeff Morrison,154
Denis Gremelmayr,154
Aisam Ul Haq Qureshi,153
Blaine Willenborg,153
Steve Meister,153
Dimitri Poliakov,152
Ove Nils Bengtson,151
Marcelo Ingaramo,151
Ruben Bemelmans,151
Alejandro Hernandez,151
Maximo Gonzalez,150
Steve Campbell,150
Jan Vacek,150
Drew Gitlin,150
Tsuyoshi Fukui,149
Oscar Otte,149
Rolf Thung,149
Matthias Bachinger,148
Pieter Aldrich,148
Alexander Waske,148
Herb Fitzgibbon,147
Jacobo Diaz,146
Cedrik Marcel Stebe,146
Gaston Etlis,146
Aki Rahunen,145
Thomas Fabbiano,144
Frederic Fontang,144
Norman Holmes,144
Jaidip Mukerjea,144
Rodney Harmon,144
Danilo Marcelino,144
Jasjit Singh,144
Henry Bunis,143
Gastao Elias,143
Kenny De Schepper,142
Attila Korpas,142
John Andrews,142
Maximilian Marterer,142
Stefano Travaglia,142
German Lopez,141
Boris Pashanski,141
Rui Machado,140
Mirza Basic,139
Sandor Noszaly,139
Haroon Ismail,138
Marcos Daniel,138
Gouichi Motomura,138
Bernabe Zapata Miralles,138
Jiri Lehecka,137
Jorge Lozano,137
Sergio Roitman,137
James Ward,136
Javier Soler,136
Paul Wekesa,136
Norbert Gombos,136
Pere Riba,135
Chris Wilkinson,134
Gregoire Barrere,133
Rolf Norberg,132
J J Wolf,132
Craig A Miller,131
Joao Souza,131
Olivier Patience,131
Doug Flach,130
Aqeel Khan,129
Dennis Novak,129
Kamil Majchrzak,129
Razvan Sabau,128
David Nainkin,126
Neil Borwick,125
Tuomas Ketola,125
Michael Kohlmann,124
Carlos Castellan,124
John Ross,124
Lukas Dlouhy,123
Andrew Castle,122
Francisco Yunis,121
Steve Shaw,121
Rick Leach,121
Carsten Arriens,120
David Engel,120
Armistead Neely,120
Thierry Ascione,120
Daniel Altmaier,120
Markus Hantschk,119
Lars Anders Wahlgren,119
Brian Macphie,119
Nicolas Devilder,119
Luis Adrian Morejon,119
Fernando Roese,119
Tadeusz Nowicki,119
Eric Korita,119
Andrej Martin,119
Menno Oosting,118
Vladimir Korotkov,118
Yuki Bhambri,117
Marc Andrea Huesler,117
Alexander Peya,117
Jack Draper,117
Johan Anderson,116
Massimo Di Domenico,116
Jozef Kovalik,116
Stephen Warboys,115
Bill Lloyd,115
Michael Robertson,115
Roberto Carretero,114
Emilio Montano,114
Scott Mccain,113
Olivier Mutis,113
Chris Delaney,112
Dale Collings,112
U Unknown,111
Jurgen Zopp,111
Attila Balazs,111
Alejandro Cortes,111
Steve Turner,111
Quentin Halys,111
Orlin Stanoytchev,111
Benjamin Balleret,111
Christopher Oconnell,111
Robert Machan,110
Peter Pokorny,110
Robert Wilson,110
Michael Tauson,110
