name,points
Earl Butch Buchholz,441
Juan Antonio Marin,438
Broderick Dyke,438
Thiago Monteiro,436
Robert Vant Hof,436
Manuel Santana,436
Marcos Hocevar,435
Leonardo Lavalle,434
Glenn Michibata,434
Lionel Roux,434
Reilly Opelka,433
Torben Ulrich,432
Claudio Pistolesi,431
Ruben Ramirez Hidalgo,430
Cyril Saulnier,430
Ferdi Taygan,429
Chuck Adams,428
Emil Ruusuvuori,428
Robert Seguso,427
Jim Pugh,426
Frantisek Pala,424
Wayne Black,424
Mario Martinez,423
Cliff Letcher,422
Matt Anger,422
David Carter,422
Taro Daniel,421
Marcello Lara,419
Ilya Ivashka,416
Jaime Oncins,415
Jiri Vanek,415
Greg Holmes,414
Jay Lapidus,414
Andrey Golubev,412
Richard Lewis,411
Alejandro Davidovich Fokina,409
Cristiano Caratti,409
Ugo Humbert,408
Christophe Roger Vasselin,408
Grant Connell,407
Mike Leach,407
Ricardo Ycaza,406
Andrey Kuznetsov,406
Ricardo Acuna,406
Denis Kudla,405
Oscar Hernandez,405
Jaume Munar,404
Jun Kamiwazumi,403
Glenn Layendecker,402
Michel Kratochvil,400
John Cooper,400
Christian Saceanu,399
Nicolas Jarry,396
Mike Bauer,396
Frank Dancevic,394
Rodolphe Gilbert,394
Roy Barth,393
Peter Gojowczyk,391
Patrick Baur,391
Alex Calatrava,391
Jan Kroslak,391
Mike Belkin,391
Evgeny Korolev,388
Terry Addison,388
Alex Bogomolov Jr,387
Flavio Saretta,386
Lito Alvarez,385
Hyeon Chung,384
Leif Shiras,384
Lorenzo Musetti,382
Holger Rune,381
Karsten Braasch,380
Markus Zoecke,380
Jean Baptiste Chanfreau,380
Jonathan Canter,379
Mike De Palmer,379
Stanislav Birner,378
Tarik Benhabiles,378
Arnaud Di Pasquale,377
Ray Keldie,376
Victor Estrella,376
Vladimir Voltchkov,374
Karol Beck,374
Mark Koevermans,372
Mal Anderson,372
Tobias Kamke,371
John Frawley,369
Thiemo De Bakker,369
Jose Lopez Maeso,367
Dustin Brown,366
Jared Palmer,363
Evgeny Donskoy,363
Illya Marchenko,362
Boro Jovanovic,362
Mikael Ymer,361
Francisco Roig,360
Marius Copil,360
Alexander Mronz,360
Matt Mitchell,359
Tom Leonard,359
Marinko Matosevic,358
Lloyd Bourne,357
Marcos Giron,357
Roland Stadler,357
Butch Seewagen,357
Lloyd Harris,356
Peter Szoke,356
Sebastian Korda,355
Hans Joachim Ploetz,355
Eric Deblicker,353
John Van Lottum,353
Pat Cramer,353
Nicholas Kalogeropoulos,352
Cecil Mamiit,351
Harel Levy,351
Markus Hipfl,345
Michael Tebbutt,344
Richard Russell,343
Joachim Johansson,340
Jean Loup Rouyer,337
Louk Sanders,337
Roberto Arguello,336
Frederico Gil,334
Daniel Brands,334
Aslan Karatsev,333
Dominique Bedel,332
Mark Kratzmann,332
Ricardo Mello,331
Julien Boutter,331
Hans Schwaier,330
Nuno Marques,329
Somdev Devvarman,328
Rajeev Ram,327
David Rikl,325
Jorge Andrew,324
Gilles Moretton,324
Jose Luis Damiani,323
Szabolcz Baranyi,323
Matt Doyle,323
Christian Miniussi,323
Jamie Morgan,322
Ramiro Benavides,322
Ricki Osterthun,321
